date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:40:58	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225e6d6874-239b%22	https://abolore1.github.io/robots.txt		(from )
20:40:58	10125/10125	---M-Z	200	added ('OK')	text/html	etag:W/%2260505226-278d%22	https://abolore1.github.io/Bootstrap4-homepage/	C:/Users/dell/Desktop/side%20huuuuuuuuuu/abolore1.github.io/Bootstrap4-homepage/index.html	(from )
20:41:01	144877/144877	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:04%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	C:/Users/dell/Desktop/side%20huuuuuuuuuu/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:41:06	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/dell/Desktop/side%20huuuuuuuuuu/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:41:07	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4af4%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	C:/Users/dell/Desktop/side%20huuuuuuuuuu/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:41:08	48944/48944	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:04%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	C:/Users/dell/Desktop/side%20huuuuuuuuuu/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:41:11	4187/4187	---M-Z	200	added ('OK')	text/css	etag:W/%2260505226-105b%22	https://abolore1.github.io/Bootstrap4-homepage/style.css	C:/Users/dell/Desktop/side%20huuuuuuuuuu/abolore1.github.io/Bootstrap4-homepage/style.css	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:41:14	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Mar%202021%2019:44:48%20GMT	https://m.w3newbie.com/you-tube.css	C:/Users/dell/Desktop/side%20huuuuuuuuuu/m.w3newbie.com/you-tube.6.delayed	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:41:15	3572/3572	---M--	200	added ('OK')	image/png	etag:%2260505226-df4%22	https://abolore1.github.io/Bootstrap4-homepage/img/logo.png	C:/Users/dell/Desktop/side%20huuuuuuuuuu/abolore1.github.io/Bootstrap4-homepage/img/logo.png	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:41:15	680496/680496	---MCZ	200	added ('OK')	application/javascript	etag:W/%22668aad8c7d9f38f93221a1dcf9f93805%22	https://use.fontawesome.com/releases/v5.0.8/js/all.js	C:/Users/dell/Desktop/side%20huuuuuuuuuu/use.fontawesome.com/releases/v5.0.8/js/all.js	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:41:24	175843/175843	---M--	200	added ('OK')	image/png	etag:%2260505226-2aee3%22	https://abolore1.github.io/Bootstrap4-homepage/img/background2.png	C:/Users/dell/Desktop/side%20huuuuuuuuuu/abolore1.github.io/Bootstrap4-homepage/img/background2.png	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:41:24	32336/32336	---M--	200	added ('OK')	image/png	etag:%2260505226-7e50%22	https://abolore1.github.io/Bootstrap4-homepage/img/background3.png	C:/Users/dell/Desktop/side%20huuuuuuuuuu/abolore1.github.io/Bootstrap4-homepage/img/background3.png	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:41:40	213434/213434	---M--	200	added ('OK')	image/png	etag:%2260505226-341ba%22	https://abolore1.github.io/Bootstrap4-homepage/img/desk.png	C:/Users/dell/Desktop/side%20huuuuuuuuuu/abolore1.github.io/Bootstrap4-homepage/img/desk.png	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:41:40	332376/332376	---M--	200	added ('OK')	image/png	etag:%2260505226-51258%22	https://abolore1.github.io/Bootstrap4-homepage/img/background.png	C:/Users/dell/Desktop/side%20huuuuuuuuuu/abolore1.github.io/Bootstrap4-homepage/img/background.png	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:42:10	1135841/1135841	---M--	200	added ('OK')	image/gif	etag:%2260505226-1154e1%22	https://abolore1.github.io/Bootstrap4-homepage/img/gif/poo.gif	C:/Users/dell/Desktop/side%20huuuuuuuuuu/abolore1.github.io/Bootstrap4-homepage/img/gif/poo.gif	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:42:13	941380/941380	---M--	200	added ('OK')	image/gif	etag:%2260505226-e5d44%22	https://abolore1.github.io/Bootstrap4-homepage/img/gif/panda.gif	C:/Users/dell/Desktop/side%20huuuuuuuuuu/abolore1.github.io/Bootstrap4-homepage/img/gif/panda.gif	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:42:30	168608/168608	---M--	200	added ('OK')	image/png	etag:%2260505226-292a0%22	https://abolore1.github.io/Bootstrap4-homepage/img/team1.png	C:/Users/dell/Desktop/side%20huuuuuuuuuu/abolore1.github.io/Bootstrap4-homepage/img/team1.png	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:42:31	182582/182582	---M--	200	added ('OK')	image/png	etag:%2260505226-2c936%22	https://abolore1.github.io/Bootstrap4-homepage/img/team2.png	C:/Users/dell/Desktop/side%20huuuuuuuuuu/abolore1.github.io/Bootstrap4-homepage/img/team2.png	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:42:35	194148/194148	---M--	200	added ('OK')	image/png	etag:%2260505226-2f664%22	https://abolore1.github.io/Bootstrap4-homepage/img/team3.png	C:/Users/dell/Desktop/side%20huuuuuuuuuu/abolore1.github.io/Bootstrap4-homepage/img/team3.png	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:42:38	4883/4883	---M--	200	added ('OK')	image/png	etag:%2260505226-1313%22	https://abolore1.github.io/Bootstrap4-homepage/img/w3newbie.png	C:/Users/dell/Desktop/side%20huuuuuuuuuu/abolore1.github.io/Bootstrap4-homepage/img/w3newbie.png	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:42:39	1078467/1078467	---M--	200	added ('OK')	image/gif	etag:%2260505226-1074c3%22	https://abolore1.github.io/Bootstrap4-homepage/img/gif/chicken.gif	C:/Users/dell/Desktop/side%20huuuuuuuuuu/abolore1.github.io/Bootstrap4-homepage/img/gif/chicken.gif	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:42:39	130816/130816	---M--	200	added ('OK')	image/png	etag:%2260505226-1ff00%22	https://abolore1.github.io/Bootstrap4-homepage/img/bootstrap2.png	C:/Users/dell/Desktop/side%20huuuuuuuuuu/abolore1.github.io/Bootstrap4-homepage/img/bootstrap2.png	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:43:17	1508894/1508894	---M--	200	added ('OK')	image/gif	etag:%2260505226-17061e%22	https://abolore1.github.io/Bootstrap4-homepage/img/gif/unicorn.gif	C:/Users/dell/Desktop/side%20huuuuuuuuuu/abolore1.github.io/Bootstrap4-homepage/img/gif/unicorn.gif	(from https://abolore1.github.io/Bootstrap4-homepage/)
20:43:28	600287/600287	---M--	200	added ('OK')	image/png	etag:%2260505226-928df%22	https://abolore1.github.io/Bootstrap4-homepage/img/mac.png	C:/Users/dell/Desktop/side%20huuuuuuuuuu/abolore1.github.io/Bootstrap4-homepage/img/mac.png	(from https://abolore1.github.io/Bootstrap4-homepage/style.css)
